start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1761094020,1761094080,2025-10-22T00:47:00+00:00,2025-10-22T00:48:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094080,1761094140,2025-10-22T00:48:00+00:00,2025-10-22T00:49:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094140,1761094200,2025-10-22T00:49:00+00:00,2025-10-22T00:50:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094200,1761094260,2025-10-22T00:50:00+00:00,2025-10-22T00:51:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094260,1761094320,2025-10-22T00:51:00+00:00,2025-10-22T00:52:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094320,1761094380,2025-10-22T00:52:00+00:00,2025-10-22T00:53:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094380,1761094440,2025-10-22T00:53:00+00:00,2025-10-22T00:54:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094440,1761094500,2025-10-22T00:54:00+00:00,2025-10-22T00:55:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094500,1761094560,2025-10-22T00:55:00+00:00,2025-10-22T00:56:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094560,1761094620,2025-10-22T00:56:00+00:00,2025-10-22T00:57:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094620,1761094680,2025-10-22T00:57:00+00:00,2025-10-22T00:58:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094680,1761094740,2025-10-22T00:58:00+00:00,2025-10-22T00:59:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094740,1761094800,2025-10-22T00:59:00+00:00,2025-10-22T01:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094800,1761094860,2025-10-22T01:00:00+00:00,2025-10-22T01:01:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094860,1761094920,2025-10-22T01:01:00+00:00,2025-10-22T01:02:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094920,1761094980,2025-10-22T01:02:00+00:00,2025-10-22T01:03:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094980,1761095040,2025-10-22T01:03:00+00:00,2025-10-22T01:04:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095040,1761095100,2025-10-22T01:04:00+00:00,2025-10-22T01:05:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095100,1761095160,2025-10-22T01:05:00+00:00,2025-10-22T01:06:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095160,1761095220,2025-10-22T01:06:00+00:00,2025-10-22T01:07:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095220,1761095280,2025-10-22T01:07:00+00:00,2025-10-22T01:08:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095280,1761095340,2025-10-22T01:08:00+00:00,2025-10-22T01:09:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095340,1761095400,2025-10-22T01:09:00+00:00,2025-10-22T01:10:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095400,1761095460,2025-10-22T01:10:00+00:00,2025-10-22T01:11:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095460,1761095520,2025-10-22T01:11:00+00:00,2025-10-22T01:12:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095520,1761095580,2025-10-22T01:12:00+00:00,2025-10-22T01:13:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095580,1761095640,2025-10-22T01:13:00+00:00,2025-10-22T01:14:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095640,1761095700,2025-10-22T01:14:00+00:00,2025-10-22T01:15:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095700,1761095760,2025-10-22T01:15:00+00:00,2025-10-22T01:16:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095760,1761095820,2025-10-22T01:16:00+00:00,2025-10-22T01:17:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095820,1761095880,2025-10-22T01:17:00+00:00,2025-10-22T01:18:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095880,1761095940,2025-10-22T01:18:00+00:00,2025-10-22T01:19:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095940,1761096000,2025-10-22T01:19:00+00:00,2025-10-22T01:20:00+00:00,,,,,,,,,,,,,,,,,,,,
1761096000,1761096060,2025-10-22T01:20:00+00:00,2025-10-22T01:21:00+00:00,,,,,,,,,,,,,,,,,,,,
1761096060,1761096120,2025-10-22T01:21:00+00:00,2025-10-22T01:22:00+00:00,,,,,,,,,,,,,,,,,,,,
1761096120,1761096180,2025-10-22T01:22:00+00:00,2025-10-22T01:23:00+00:00,,,,,,,,,,,,,,,,,,,,
1761096180,1761096240,2025-10-22T01:23:00+00:00,2025-10-22T01:24:00+00:00,,,,,,,,,,,,,,,,,,,,
1761096240,1761096300,2025-10-22T01:24:00+00:00,2025-10-22T01:25:00+00:00,,,,,,,,,,,,,,,,,,,,
1761096300,1761096360,2025-10-22T01:25:00+00:00,2025-10-22T01:26:00+00:00,,,,,,,,,,,,,,,,,,,,
1761096360,1761096420,2025-10-22T01:26:00+00:00,2025-10-22T01:27:00+00:00,,,,,,,,,,,,,,,,,,,,
1761096420,1761096480,2025-10-22T01:27:00+00:00,2025-10-22T01:28:00+00:00,,,,,,,,,,,,,,,,,,,,
1761096480,1761096540,2025-10-22T01:28:00+00:00,2025-10-22T01:29:00+00:00,,,,,,,,,,,,,,,,,,,,
1761096540,1761096600,2025-10-22T01:29:00+00:00,2025-10-22T01:30:00+00:00,,,,,,,,,,,,,,,,,,,,
1761096600,1761096660,2025-10-22T01:30:00+00:00,2025-10-22T01:31:00+00:00,,,,,,,,,,,,,,,,,,,,
1761096660,1761096720,2025-10-22T01:31:00+00:00,2025-10-22T01:32:00+00:00,,,,,,,,,,,,,,,,,,,,
1761096720,1761096780,2025-10-22T01:32:00+00:00,2025-10-22T01:33:00+00:00,,,,,,,,,,,,,,,,,,,,
1761096780,1761096840,2025-10-22T01:33:00+00:00,2025-10-22T01:34:00+00:00,,,,,,,,,,,,,,,,,,,,
1761096840,1761096900,2025-10-22T01:34:00+00:00,2025-10-22T01:35:00+00:00,,,,,,,,,,,,,,,,,,,,
1761096900,1761096960,2025-10-22T01:35:00+00:00,2025-10-22T01:36:00+00:00,,,,,,,,,,,,,,,,,,,,
1761096960,1761097020,2025-10-22T01:36:00+00:00,2025-10-22T01:37:00+00:00,,,,,,,,,,,,,,,,,,,,
1761097020,1761097080,2025-10-22T01:37:00+00:00,2025-10-22T01:38:00+00:00,,,,,,,,,,,,,,,,,,,,
1761097080,1761097140,2025-10-22T01:38:00+00:00,2025-10-22T01:39:00+00:00,,,,,,,,,,,,,,,,,,,,
1761097140,1761097200,2025-10-22T01:39:00+00:00,2025-10-22T01:40:00+00:00,,,,,,,,,,,,,,,,,,,,
1761097200,1761097260,2025-10-22T01:40:00+00:00,2025-10-22T01:41:00+00:00,,,,,,,,,,,,,,,,,,,,
1761097260,1761097320,2025-10-22T01:41:00+00:00,2025-10-22T01:42:00+00:00,,,,,,,,,,,,,,,,,,,,
1761097320,1761097380,2025-10-22T01:42:00+00:00,2025-10-22T01:43:00+00:00,,,,,,,,,,,,,,,,,,,,
1761097380,1761097440,2025-10-22T01:43:00+00:00,2025-10-22T01:44:00+00:00,,,,,,,,,,,,,,,,,,,,
1761097440,1761097500,2025-10-22T01:44:00+00:00,2025-10-22T01:45:00+00:00,,,,,,,,,,,,,,,,,,,,
1761097500,1761097560,2025-10-22T01:45:00+00:00,2025-10-22T01:46:00+00:00,,,,,,,,,,,,,,,,,,,,
1761097560,1761097620,2025-10-22T01:46:00+00:00,2025-10-22T01:47:00+00:00,,,,,,,,,,,,,,,,,,,,
1761097620,1761097680,2025-10-22T01:47:00+00:00,2025-10-22T01:48:00+00:00,,,,,,,,,,,,,,,,,,,,
1761097680,1761097740,2025-10-22T01:48:00+00:00,2025-10-22T01:49:00+00:00,,,,,,,,,,,,,,,,,,,,
1761097740,1761097800,2025-10-22T01:49:00+00:00,2025-10-22T01:50:00+00:00,,,,,,,,,,,,,,,,,,,,
1761097800,1761097860,2025-10-22T01:50:00+00:00,2025-10-22T01:51:00+00:00,,,,,,,,,,,,,,,,,,,,
1761097860,1761097920,2025-10-22T01:51:00+00:00,2025-10-22T01:52:00+00:00,,,,,,,,,,,,,,,,,,,,
1761097920,1761097980,2025-10-22T01:52:00+00:00,2025-10-22T01:53:00+00:00,,,,,,,,,,,,,,,,,,,,
1761097980,1761098040,2025-10-22T01:53:00+00:00,2025-10-22T01:54:00+00:00,,,,,,,,,,,,,,,,,,,,
1761098040,1761098100,2025-10-22T01:54:00+00:00,2025-10-22T01:55:00+00:00,,,,,,,,,,,,,,,,,,,,
1761098100,1761098160,2025-10-22T01:55:00+00:00,2025-10-22T01:56:00+00:00,,,,,,,,,,,,,,,,,,,,
1761098160,1761098220,2025-10-22T01:56:00+00:00,2025-10-22T01:57:00+00:00,,,,,,,,,,,,,,,,,,,,
1761098220,1761098280,2025-10-22T01:57:00+00:00,2025-10-22T01:58:00+00:00,,,,,,,,,,,,,,,,,,,,
1761098280,1761098340,2025-10-22T01:58:00+00:00,2025-10-22T01:59:00+00:00,,,,,,,,,,,,,,,,,,,,
1761098340,1761098400,2025-10-22T01:59:00+00:00,2025-10-22T02:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1761098400,1761098460,2025-10-22T02:00:00+00:00,2025-10-22T02:01:00+00:00,,,,,,,,,,,,,,,,,,,,
1761098460,1761098520,2025-10-22T02:01:00+00:00,2025-10-22T02:02:00+00:00,,,,,,,,,,,,,,,,,,,,
1761098520,1761098580,2025-10-22T02:02:00+00:00,2025-10-22T02:03:00+00:00,,,,,,,,,,,,,,,,,,,,
1761098580,1761098640,2025-10-22T02:03:00+00:00,2025-10-22T02:04:00+00:00,,,,,,,,,,,,,,,,,,,,
1761098640,1761098700,2025-10-22T02:04:00+00:00,2025-10-22T02:05:00+00:00,,,,,,,,,,,,,,,,,,,,
1761098700,1761098760,2025-10-22T02:05:00+00:00,2025-10-22T02:06:00+00:00,,,,,,,,,,,,,,,,,,,,
1761098760,1761098820,2025-10-22T02:06:00+00:00,2025-10-22T02:07:00+00:00,,,,,,,,,,,,,,,,,,,,
1761098820,1761098880,2025-10-22T02:07:00+00:00,2025-10-22T02:08:00+00:00,,,,,,,,,,,,,,,,,,,,
1761098880,1761098940,2025-10-22T02:08:00+00:00,2025-10-22T02:09:00+00:00,,,,,,,,,,,,,,,,,,,,
1761098940,1761099000,2025-10-22T02:09:00+00:00,2025-10-22T02:10:00+00:00,,,,,,,,,,,,,,,,,,,,
1761099000,1761099060,2025-10-22T02:10:00+00:00,2025-10-22T02:11:00+00:00,,,,,,,,,,,,,,,,,,,,
1761099060,1761099120,2025-10-22T02:11:00+00:00,2025-10-22T02:12:00+00:00,,,,,,,,,,,,,,,,,,,,
1761099120,1761099180,2025-10-22T02:12:00+00:00,2025-10-22T02:13:00+00:00,,,,,,,,,,,,,,,,,,,,
1761099180,1761099240,2025-10-22T02:13:00+00:00,2025-10-22T02:14:00+00:00,,,,,,,,,,,,,,,,,,,,
1761099240,1761099300,2025-10-22T02:14:00+00:00,2025-10-22T02:15:00+00:00,,,,,,,,,,,,,,,,,,,,
1761099300,1761099360,2025-10-22T02:15:00+00:00,2025-10-22T02:16:00+00:00,,,,,,,,,,,,,,,,,,,,
1761099360,1761099420,2025-10-22T02:16:00+00:00,2025-10-22T02:17:00+00:00,,,,,,,,,,,,,,,,,,,,
1761099420,1761099480,2025-10-22T02:17:00+00:00,2025-10-22T02:18:00+00:00,,,,,,,,,,,,,,,,,,,,
1761099480,1761099540,2025-10-22T02:18:00+00:00,2025-10-22T02:19:00+00:00,,,,,,,,,,,,,,,,,,,,
1761099540,1761099600,2025-10-22T02:19:00+00:00,2025-10-22T02:20:00+00:00,,,,,,,,,,,,,,,,,,,,
1761099600,1761099660,2025-10-22T02:20:00+00:00,2025-10-22T02:21:00+00:00,,,,,,,,,,,,,,,,,,,,
1761099660,1761099720,2025-10-22T02:21:00+00:00,2025-10-22T02:22:00+00:00,,,,,,,,,,,,,,,,,,,,
1761099720,1761099780,2025-10-22T02:22:00+00:00,2025-10-22T02:23:00+00:00,,,,,,,,,,,,,,,,,,,,
1761099780,1761099840,2025-10-22T02:23:00+00:00,2025-10-22T02:24:00+00:00,,,,,,,,,,,,,,,,,,,,
1761099840,1761099900,2025-10-22T02:24:00+00:00,2025-10-22T02:25:00+00:00,,,,,,,,,,,,,,,,,,,,
